iModulon,Gene
FucR/AllR/AraC,ybbY
FucR/AllR/AraC,araG
FucR/AllR/AraC,araF
FucR/AllR/AraC,fucO
FucR/AllR/AraC,fucA
FucR/AllR/AraC,fucP
FucR/AllR/AraC,fucI
FucR/AllR/AraC,fucK
FucR/AllR/AraC,fucU
FucR/AllR/AraC,araE
FucR/AllR/AraC,araH
ldrC,ldrC
Ferric Citrate,entC
Ferric Citrate,ubiC
Ferric Citrate,fecE
Ferric Citrate,fecD
Ferric Citrate,fecC
Ferric Citrate,fecB
Ferric Citrate,fecA
Zinc-1,cueO
Zinc-1,ykgM
Zinc-1,copA
Zinc-1,pliG
Zinc-1,mepM
Zinc-1,znuA
Zinc-1,znuC
Zinc-1,znuB
Zinc-1,zinT
Zinc-1,yodB
Zinc-1,rcnA
Zinc-1,zntA
Zinc-1,rpmE
Zinc-1,ykgO
Methionine,metQ
Methionine,metI
Methionine,metN
Methionine,mmuP
Methionine,mmuM
Methionine,hcxA
Methionine,ybdL
Methionine,yddB
Methionine,yddA
Methionine,cspB
Methionine,metK
Methionine,metC
Methionine,yghB
Methionine,metR
Methionine,metE
Methionine,yiiX
Methionine,metJ
Methionine,metB
Methionine,metL
Methionine,metF
Methionine,metA
Sorbitol,srlA
Sorbitol,srlE
Sorbitol,srlB
Sorbitol,srlD
Sorbitol,gutM
Sorbitol,srlR
Glycerol,dhaL
Glycerol,dhaK
Glycerol,glpQ
Glycerol,glpT
Glycerol,glpA
Glycerol,glpB
Glycerol,glpC
Glycerol,glpD
Glycerol,glpX
Glycerol,glpK
Glycerol,glpF
Nucleoside,tsx
Nucleoside,ycdZ
Nucleoside,cdd
Nucleoside,nupG
Nucleoside,tsgA
Nucleoside,nirB
Nucleoside,nirD
Nucleoside,udp
Nucleoside,yjcB
Nucleoside,deoC
Nucleoside,deoA
SoxS,lpxC
SoxS,gcd
SoxS,yadM
SoxS,dgt
SoxS,degP
SoxS,glnD
SoxS,map
SoxS,paoC
SoxS,paoB
SoxS,lacA
SoxS,hemB
SoxS,ampH
SoxS,yaiA
SoxS,aroM
SoxS,decR
SoxS,mdlA
SoxS,mdlB
SoxS,acrB
SoxS,acrA
SoxS,apt
SoxS,ybaL
SoxS,nfsB
SoxS,citR
SoxS,dpiB
SoxS,lipA
SoxS,fur
SoxS,fldA
SoxS,ybfF
SoxS,acrZ
SoxS,ybhA
SoxS,pgl
SoxS,ybiJ
SoxS,grxA
SoxS,ybjC
SoxS,nfsA
SoxS,rimK
SoxS,ybjN
SoxS,ltaE
SoxS,poxB
SoxS,ompF
SoxS,pncB
SoxS,pqiA
SoxS,pqiB
SoxS,pqiC
SoxS,opgC
SoxS,mdtG
SoxS,ptsG
SoxS,ychA
SoxS,kdsA
SoxS,chaC
SoxS,acnA
SoxS,ribA
SoxS,ynaE
SoxS,ompN
SoxS,ydbK
SoxS,ydcL
SoxS,pqqU
SoxS,pptA
SoxS,nhoA
SoxS,eamA
SoxS,ydeE
SoxS,rspB
SoxS,fumC
SoxS,yebV
SoxS,edd
SoxS,zwf
SoxS,nfo
SoxS,yeiI
SoxS,yeiR
SoxS,lpxT
SoxS,inaA
SoxS,yfcD
SoxS,mlaA
SoxS,ypeC
SoxS,ligA
SoxS,cysZ
SoxS,yfgG
SoxS,yfgH
SoxS,mltF
SoxS,ypjF
SoxS,ygaY
SoxS,idi
SoxS,fldB
SoxS,ygfZ
SoxS,mutY
SoxS,yggX
SoxS,mltC
SoxS,nupG
SoxS,yqgA
SoxS,tolC
SoxS,rsmI
SoxS,yhbW
SoxS,kdsC
SoxS,lptC
SoxS,lptA
SoxS,lptB
SoxS,yrbL
SoxS,yhcN
SoxS,treF
SoxS,yhjB
SoxS,eptB
SoxS,nepI
SoxS,frvR
SoxS,frvX
SoxS,frvB
SoxS,sodA
SoxS,kdgT
SoxS,sbp
SoxS,fpr
SoxS,oxyR
SoxS,soxS
SoxS,yjjW
SoxS,yjjI
SoxS,rob
SoxS,yobH
SoxS,ypeB
SoxS,ynaM
thrA KO,thrA
thrA KO,thrB
thrA KO,borD
thrA KO,ilvC
thrA KO,ymjB
YjfJ,yjfI
YjfJ,yjfJ
YjfJ,yjfK
YjfJ,yjfL
Lrp,leuC
Lrp,ilvI
Lrp,ilvH
Lrp,ddlA
Lrp,artM
Lrp,artI
Lrp,ompF
Lrp,dadA
Lrp,dadX
Lrp,ydeE
Lrp,pntB
Lrp,pntA
Lrp,ydgI
Lrp,dtpA
Lrp,leuE
Lrp,sdaA
Lrp,tyrP
Lrp,eco
Lrp,alaA
Lrp,stpA
Lrp,alaE
Lrp,sdaC
Lrp,sdaB
Lrp,yqeG
Lrp,livF
Lrp,livG
Lrp,livM
Lrp,livH
Lrp,livK
Lrp,livJ
Lrp,dtpB
Lrp,yhjE
Lrp,tdh
Lrp,kbl
Lrp,emrD
Lrp,ilvC
Lrp,metE
Lrp,yjbJ
Lrp,lysU
Lrp,ytfK
Lrp,ymgF
Lrp,ymgM
baeR KO,yaaY
baeR KO,dapB
baeR KO,mraZ
baeR KO,rsmH
baeR KO,ftsL
baeR KO,murE
baeR KO,murF
baeR KO,mraY
baeR KO,murD
baeR KO,ftsW
baeR KO,murG
baeR KO,murC
baeR KO,yacH
baeR KO,dpaA
baeR KO,pepD
baeR KO,pdeL
baeR KO,yahD
baeR KO,yahJ
baeR KO,baeR
baeR KO,pspG
baeR KO,yjhV
baeR KO,fecE
baeR KO,fecD
baeR KO,fecB
baeR KO,fecA
baeR KO,fecR
baeR KO,fecI
baeR KO,insA7
baeR KO,yjhU
baeR KO,yjhF
baeR KO,yjhG
baeR KO,yjhH
baeR KO,yjhI
baeR KO,sgcR
baeR KO,sgcE
baeR KO,sgcA
baeR KO,sgcQ
baeR KO,sgcC
baeR KO,sgcX
baeR KO,yjhP
baeR KO,yjhQ
baeR KO,yjhR
baeR KO,nanS
baeR KO,nanM
baeR KO,nanC
baeR KO,fimB
baeR KO,fimE
baeR KO,yjiG
baeR KO,yjjY
baeR KO,ymjB
baeR KO,sgcB
baeR KO,topAI
baeR KO,ykgS
baeR KO,ytiA
ydaG,kilR
ydaG,ydaG
ydaG,paaB
ydaG,ydaF
ldrA,ldrA
Quorum Sensing,lsrK
Quorum Sensing,lsrR
Quorum Sensing,lsrA
Quorum Sensing,lsrC
Quorum Sensing,lsrD
Quorum Sensing,lsrB
Quorum Sensing,lsrF
Quorum Sensing,lsrG
Quorum Sensing,tam
Quorum Sensing,nfi
IS Elements-2,insI1
IS Elements-2,insH1
IS Elements-2,insA2
IS Elements-2,insA3
IS Elements-2,insE1
IS Elements-2,insF1
IS Elements-2,insC1
IS Elements-2,insD1
IS Elements-2,insE2
IS Elements-2,insE3
IS Elements-2,insF3
IS Elements-2,insH2
IS Elements-2,insH3
IS Elements-2,insB4
IS Elements-2,insF4
IS Elements-2,insE4
IS Elements-2,insH4
IS Elements-2,tfaR
IS Elements-2,pinR
IS Elements-2,ynaE
IS Elements-2,insC2
IS Elements-2,insI2
IS Elements-2,ydfK
IS Elements-2,pinQ
IS Elements-2,tfaQ
IS Elements-2,insD7
IS Elements-2,insH6
IS Elements-2,insC3
IS Elements-2,yeeW
IS Elements-2,gnd
IS Elements-2,insE5
IS Elements-2,insF5
IS Elements-2,insH8
IS Elements-2,insH9
IS Elements-2,insC5
IS Elements-2,insD5
IS Elements-2,insH10
IS Elements-2,insA6
IS Elements-2,insB6
IS Elements-2,insH11
IS Elements-2,tufB
IS Elements-2,yzfA
IS Elements-2,insC6
IS Elements-2,insD6
IS Elements-2,insI3
IS Elements-2,insA4
IS Elements-2,yohO
IS Elements-2,insH21
IS Elements-2,ytiD
Nickel,nikA
Nickel,nikB
Nickel,nikC
Nickel,nikD
Nickel,nikE
CpxR,cueO
CpxR,degP
CpxR,yagU
CpxR,maa
CpxR,hha
CpxR,tomB
CpxR,copA
CpxR,ybbA
CpxR,ybbP
CpxR,cusR
CpxR,cusC
CpxR,yliI
CpxR,tusE
CpxR,yccA
CpxR,ldtC
CpxR,ychH
CpxR,chaA
CpxR,yncJ
CpxR,dgcZ
CpxR,ynfD
CpxR,mdtI
CpxR,mdtJ
CpxR,tqsA
CpxR,spy
CpxR,sdaA
CpxR,yoaE
CpxR,htpX
CpxR,yobB
CpxR,yebE
CpxR,ftnB
CpxR,hprR
CpxR,yfgG
CpxR,raiA
CpxR,yqaE
CpxR,ygiB
CpxR,ygiC
CpxR,alx
CpxR,yqjA
CpxR,mzrA
CpxR,yhdU
CpxR,ppiA
CpxR,rpoH
CpxR,srkA
CpxR,dsbA
CpxR,cpxR
CpxR,mutL
CpxR,miaA
CpxR,yjfN
CpxR,fimE
CpxR,slt
CpxR,cpxP
CpxR,efeU
CpxR,yoaL
Curli-2,csgB
Curli-2,csgA
Curli-2,csgC
Curli-2,rhaT
Curli-2,yjbT
Acid Shock RNA,ydcI
Acid Shock RNA,asr
Acid Shock RNA,ydgD
FucR/ExuR,racC
FucR/ExuR,uxaB
FucR/ExuR,yeiQ
FucR/ExuR,fucO
FucR/ExuR,fucA
FucR/ExuR,fucP
FucR/ExuR,fucI
FucR/ExuR,fucK
FucR/ExuR,fucU
FucR/ExuR,yqhD
FucR/ExuR,uxaA
FucR/ExuR,uxaC
FucR/ExuR,exuT
FucR/ExuR,uxuA
cydB/appC KO,cyoB
cydB/appC KO,cydB
cydB/appC KO,ybgE
cydB/appC KO,appC
cydB/appC KO,appB
cydB/appC KO,appA
cydB/appC KO,menE
cydB/appC KO,menC
cydB/appC KO,nuoB
cydB/appC KO,yjjY
cydB/appC KO,cydX
ymdG,ymdG
EvgA,ydeO
EvgA,safA
EvgA,ydeP
EvgA,asr
EvgA,ogrK
EvgA,yegZ
EvgA,yegR
EvgA,emrY
EvgA,emrK
EvgA,yfdE
EvgA,yfdV
EvgA,oxc
EvgA,frc
EvgA,yfdX
EvgA,ypdI
Xylose,yagG
Xylose,yagH
Xylose,glrR
Xylose,ubiK
Xylose,yiaA
Xylose,yiaB
Xylose,xylB
Xylose,xylA
Xylose,xylF
Xylose,xylG
Xylose,xylH
Xylose,xylR
Xylose,yicI
Xylose,yicJ
Xylose,xylE
IS1,insB1
IS1,insA1
IS1,insB5
IS1,insA5
IS1,luxS
IS1,cyaA
IS1,arcA
IS1,insA9
IS1,insB9
pgi KO,rluA
pgi KO,gsiD
pgi KO,pgi
pgi KO,sgrT
Biotin,bioA
Biotin,bioB
Biotin,bioF
Biotin,bioC
Biotin,bioD
Biotin,ynfM
Biotin,bioP
Biotin,malE
N Reduction,narH
N Reduction,narJ
N Reduction,narI
N Reduction,ccmH
N Reduction,ccmG
N Reduction,ccmF
N Reduction,ccmE
N Reduction,ccmD
N Reduction,ccmC
N Reduction,ccmB
N Reduction,ccmA
N Reduction,napC
N Reduction,napB
N Reduction,napH
N Reduction,napG
N Reduction,napA
N Reduction,napD
N Reduction,napF
N Reduction,nirD
N Reduction,nirC
N Reduction,nrfA
N Reduction,nrfB
N Reduction,nrfC
N Reduction,nrfD
FDH-N/NRA,narK
FDH-N/NRA,narG
FDH-N/NRA,narH
FDH-N/NRA,narJ
FDH-N/NRA,narI
FDH-N/NRA,ychS
FDH-N/NRA,ompW
FDH-N/NRA,fdnG
FDH-N/NRA,fdnH
FDH-N/NRA,ynfE
FDH-N/NRA,yoaG
FDH-N/NRA,yeaR
FDH-N/NRA,nirB
FDH-N/NRA,nirD
FDH-N/NRA,yibI
Resistance,ykgL
Resistance,cspE
Resistance,tatE
Resistance,ybfA
Resistance,acrZ
Resistance,grxA
Resistance,ycaR
Resistance,rmf
Resistance,ynaJ
Resistance,mokB
Resistance,sra
Resistance,gnsB
Resistance,cspB
Resistance,hokD
Resistance,fumD
Resistance,lpp
Resistance,ydiH
Resistance,ydiE
Resistance,yobF
Resistance,mgrB
Resistance,yecH
Resistance,yecF
Resistance,dsrB
Resistance,yfgG
Resistance,yqaE
Resistance,ygdI
Resistance,ygdR
Resistance,glgS
Resistance,yhaL
Resistance,yhfL
Resistance,yhjR
Resistance,rpmH
Resistance,maoP
Resistance,rhoL
Resistance,yjaA
Resistance,yjbJ
Resistance,ytfK
Resistance,pyrL
Resistance,blr
Resistance,ecnB
Resistance,ldrA
Resistance,hokB
Resistance,ldrD
Resistance,torI
Resistance,cydX
Resistance,ymgF
Resistance,yniD
Resistance,yohO
Resistance,ypfN
Resistance,arfA
Resistance,yciY
Resistance,sgrT
Resistance,yshB
Resistance,ykgS
Resistance,mntS
Resistance,rseD
Resistance,yqhI
Resistance,yqiD
PAL 10 Del,frmB
PAL 10 Del,frmA
PAL 10 Del,frmR
PAL 10 Del,abgR
PAL 10 Del,smrA
PAL 10 Del,dgcM
PAL 10 Del,zntB
PAL 10 Del,dbpA
PAL 10 Del,ttcA
PAL 10 Del,intR
PAL 10 Del,recT
PAL 10 Del,racR
PAL 10 Del,ydaS
PAL 10 Del,ydaW
PAL 10 Del,ynaA
PAL 10 Del,uspF
PAL 10 Del,ydbK
PAL 10 Del,hslJ
PAL 10 Del,ldhA
PAL 10 Del,ydbH
PAL 10 Del,ynbE
PAL 10 Del,ydbL
PAL 10 Del,feaR
